Name	Protein
Niben261Chr05g1246002.1	Phenyl_553
Niben261Chr05g1245001.1	Phenyl_554
Niben261Chr05g1246006.1	Phenyl_555
Niben261Chr04g1547019.1	Phenyl_556
Niben261Chr09g0051006.1	Phenyl_557
Niben261Chr12g1302003.1	Phenyl_559
Niben261Chr15g0971012.1	Phenyl_562
Niben261Chr14g0823007.1	Phenyl_563
Niben261Chr11g1427013.1	Phenyl_564
Niben261Chr04g1842003.1	Phenyl_566
Niben261Chr14g0059009.1	Phenyl_567
Niben261Chr02g0756001.1	Phenyl_568
Niben261Chr19g0913005.1	Phenyl_569
Niben261Chr06g1140007.1	Phenyl_570
Niben261Chr08g0222008.1	Phenyl_571
Niben261Chr08g0236002.1	Phenyl_573
Niben261Chr06g0536012.1	Phenyl_574
Niben261Chr13g1081014.1	Phenyl_575
Niben261Chr04g1121003.1	Phenyl_577
Niben261Chr09g0255001.1	Phenyl_578
Niben261Chr10g1058012.1	Phenyl_580
Niben261Chr04g1242005.1	Phenyl_582
Niben261Chr13g1036014.1	Phenyl_584
Niben261Chr10g1102015.1	Phenyl_585
Niben261Chr15g1457006.1	Phenyl_586
Niben261Chr10g0362001.1	Phenyl_587
Niben261Chr18g0842013.1	Phenyl_590
Niben261Chr05g0988015.1	Phenyl_591
Niben261Chr13g0783003.1	Phenyl_592
Niben261Chr09g1052001.1	Phenyl_593
Niben261Chr03g1070008.1	Phenyl_594
Niben261Chr05g0988007.1	Phenyl_595
Niben261Chr13g0781002.1	Phenyl_596
Niben261Chr17g0329008.1	Phenyl_597
Niben261Chr13g0781008.1	Phenyl_598
Niben261Chr11g1413017.1	Phenyl_599
Niben261Chr05g0571007.1	Phenyl_601
Niben261Chr08g1218002.1	Phenyl_603
Niben261Chr04g0258017.1	Phenyl_605
Niben261Chr01g1224027.1	Phenyl_614
Niben261Chr15g0793009.1	Phenyl_615
Niben261Chr09g1281028.1	Phenyl_620
Niben261Chr01g0648001.1	Phenyl_623
Niben261Chr09g1279010.1	Phenyl_624
Niben261Chr05g0865009.1	Phenyl_625
Niben261Chr03g0233005.1	Phenyl_627
Niben261Chr18g0915006.1	Phenyl_628
Niben261Chr14g0997003.1	Phenyl_630
Niben261Chr05g1291012.1	Phenyl_631
Niben261Chr03g1456006.1	Phenyl_635
Niben261Chr19g1304003.1	Phenyl_636
Niben261Chr12g0201002.1	Phenyl_638
Niben261Chr04g1336006.1	Phenyl_640
Niben261Chr19g0121006.1	Phenyl_641
Niben261Chr19g0145008.1	Phenyl_643
Niben261Chr19g0792006.1	Phenyl_647
Niben261Chr10g1120003.1	Phenyl_648
Niben261Chr18g0896027.1	Phenyl_649
Niben261Chr07g1074013.1	Phenyl_651
Niben261Chr17g0723003.1	Phenyl_652
Niben261Chr15g0843011.1	Phenyl_653
Niben261Chr07g0056002.1	Phenyl_655
Niben261Chr07g0813009.1	Phenyl_656
Niben261Chr15g0661008.1	Phenyl_657
Niben261Chr03g1610001.1	Phenyl_659
Niben261Chr04g0243004.1	Phenyl_661
Niben261Chr13g0909005.1	Phenyl_662
Niben261Chr18g1482015.1	Phenyl_665
Niben261Chr15g0565006.1	Phenyl_666
Niben261Chr17g1504003.1	Phenyl_667
