Name	Protein
Niben261Chr06g0450009.1	TCArel_226
Niben261Chr04g1823002.1	TCArel_227
Niben261Chr02g0024003.1	TCArel_228
Niben261Chr03g1103005.1	TCArel_229
Niben261Chr17g0046008.1	TCArel_231
Niben261Chr14g0799013.1	TCArel_232
Niben261Chr01g0901007.1	TCArel_233
Niben261Chr16g1348021.1	TCArel_234
Niben261Chr16g1348010.1	TCArel_235
Niben261Chr10g0483009.1	TCArel_236
Niben261Chr04g0689008.1	TCArel_237
Niben261Chr09g0952018.1	TCArel_238
Niben261Chr16g1348011.1	TCArel_240
Niben261Chr01g0912007.1	TCArel_241
Niben261Chr10g1004010.1	TCArel_242
Niben261Chr13g1108028.1	TCArel_243
Niben261Chr18g0190001.1	TCArel_244
Niben261Chr02g0101009.1	TCArel_245
Niben261Chr13g1310006.1	TCArel_246
Niben261Chr02g0501003.1	TCArel_247
Niben261Chr12g1091002.1	TCArel_248
Niben261Chr08g1084012.1	TCArel_249
Niben261Chr03g0285001.1	TCArel_250
Niben261Chr09g1369018.1	TCArel_251
Niben261Chr07g0902006.1	TCArel_252
Niben261Chr15g1202004.1	TCArel_253
Niben261Chr06g1084016.1	TCArel_254
Niben261Chr08g0173007.1	TCArel_255
Niben261Chr13g1319014.1	TCArel_258
Niben261Chr11g0064002.1	TCArel_259
Niben261Chr01g0119001.1	TCArel_260
Niben261Chr01g0274003.1	TCArel_261
Niben261Chr02g0496004.1	TCArel_262
Niben261Chr12g1100008.1	TCArel_263
Niben261Chr12g0555003.1	TCArel_264
Niben261Chr08g1087009.1	TCArel_265
Niben261Chr11g1236013.1	TCArel_266
Niben261Chr04g1477003.1	TCArel_267
Niben261Chr07g0338001.1	TCArel_269
Niben261Chr02g0005007.1	TCArel_270
Niben261Chr19g1410005.1	TCArel_271
Niben261Chr06g0042015.1	TCArel_272
Niben261Chr16g0415010.1	TCArel_273
Niben261Chr07g1489008.1	TCArel_274
Niben261Chr01g0468013.1	TCArel_275
Niben261Chr12g0155013.1	TCArel_276
Niben261Chr01g0461001.1	TCArel_279
Niben261Chr04g1809012.1	TCArel_280
Niben261Chr14g0099016.1	TCArel_281
Niben261Chr07g1176026.1	TCArel_282
Niben261Chr15g1063012.1	TCArel_283
Niben261Chr10g0871003.1	TCArel_284
Niben261Chr13g1261011.1	TCArel_285
Niben261Chr18g0559016.1	TCArel_286
Niben261Chr03g0856010.1	TCArel_287
Niben261Chr18g0559010.1	TCArel_288
Niben261Scf03882g0000005.1	TCArel_289
Niben261Chr03g0856011.1	TCArel_290
Niben261Chr03g0856009.1	TCArel_293
Niben261Chr03g0724005.1	TCArel_296
Niben261Chr03g0812005.1	TCArel_297
Niben261Chr18g0475008.1	TCArel_298
Niben261Chr06g1266009.1	TCArel_299
Niben261Chr07g0141003.1	TCArel_300
Niben261Chr12g0700009.1	TCArel_301
Niben261Chr07g1433011.1	TCArel_302
Niben261Chr01g0131002.1	TCArel_305
Niben261Chr02g0845010.1	TCArel_309
Niben261Chr19g1011018.1	TCArel_310
Niben261Chr08g0180020.1	TCArel_311
Niben261Chr06g1092004.1	TCArel_312
Niben261Chr19g1097015.1	TCArel_313
Niben261Chr06g0749011.1	TCArel_314
Niben261Chr17g0693016.1	TCArel_315
Niben261Chr17g0693013.1	TCArel_316
Niben261Chr04g1028012.1	TCArel_319
Niben261Chr16g0098010.1	TCArel_320
Niben261Chr07g1128061.1	TCArel_321
Niben261Chr07g1128067.1	TCArel_322
Niben261Chr07g1128052.1	TCArel_323
Niben261Chr07g1128060.1	TCArel_324
Niben261Chr18g0427009.1	TCArel_325
Niben261Chr09g1249008.1	TCArel_327
Niben261Chr10g0444002.1	TCArel_328
Niben261Chr05g0759010.1	TCArel_330
Niben261Chr11g1264006.1	TCArel_331
Niben261Chr10g0376014.1	TCArel_332
Niben261Chr09g1039003.1	TCArel_333
Niben261Chr06g1131008.1	TCArel_335
Niben261Chr01g1366019.1	TCArel_336
Niben261Chr12g0183012.1	TCArel_337
Niben261Chr13g1033008.1	TCArel_338
Niben261Chr10g1107013.1	TCArel_339
Niben261Chr03g1559003.1	TCArel_345
Niben261Chr17g0272001.1	TCArel_346
Niben261Chr16g1233007.1	TCArel_347
Niben261Chr06g0446001.1	TCArel_348
Niben261Chr08g0059004.1	TCArel_349
Niben261Chr14g1039002.1	TCArel_350
Niben261Chr14g1184007.1	TCArel_351
Niben261Chr09g1153027.1	TCArel_352
Niben261Chr04g0484002.1	TCArel_353
Niben261Chr03g0401003.1	TCArel_354
Niben261Chr16g0618005.1	TCArel_355
Niben261Chr16g0618006.1	TCArel_356
Niben261Chr06g0811002.1	TCArel_357
Niben261Chr08g0072005.1	TCArel_358
Niben261Chr06g0429003.1	TCArel_359
Niben261Chr02g1036005.1	TCArel_360
